metric,value
run_a_id,591b74731ece409587049ad24ea8a3c3
run_b_id,7b8c4a8ed7824d28997bf6b220b1e9dd
,
cycle_time_a_cycle1_s,34.6949
cycle_time_a_cycle2_s,34.6641
cycle_time_a_cycle3_s,34.6633
cycle_time_b_cycle1_s,39.8555
cycle_time_b_cycle2_s,39.7835
cycle_time_b_cycle3_s,39.8713
cycle_time_a_mean_s,34.6741
cycle_time_a_std_s,0.0147
cycle_time_b_mean_s,39.8368
cycle_time_b_std_s,0.0382
,
joint_rmse_j1_rad,0.208169
joint_rmse_j2_rad,0.229960
joint_rmse_j3_rad,0.942662
joint_rmse_j4_rad,0.745715
joint_rmse_j5_rad,0.045009
joint_rmse_j6_rad,0.322643
joint_rmse_combined_rad,0.523934
,
tcp_path_rms_deviation_m,0.316542
tcp_path_std_deviation_m,0.135939
,
rms_current_a_j1_A,0.2767
rms_current_a_j2_A,1.2681
rms_current_a_j3_A,1.1662
rms_current_a_j4_A,0.6691
rms_current_a_j5_A,0.1984
rms_current_a_j6_A,0.2252
std_current_a_j1_A,0.2722
std_current_a_j2_A,0.4431
std_current_a_j3_A,0.4433
std_current_a_j4_A,0.3679
std_current_a_j5_A,0.1954
std_current_a_j6_A,0.2248
rms_current_b_j1_A,0.0036
rms_current_b_j2_A,1.2558
rms_current_b_j3_A,1.2028
rms_current_b_j4_A,0.5688
rms_current_b_j5_A,0.0109
rms_current_b_j6_A,0.0008
std_current_b_j1_A,0.0036
std_current_b_j2_A,0.2259
std_current_b_j3_A,0.1858
std_current_b_j4_A,0.0433
std_current_b_j5_A,0.0079
std_current_b_j6_A,0.0008
